pathway,gene,in_sfari_strict,in_sfari_broad,sfari_score,sfari_syndromic
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,RTN4RL1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,RTN4RL2,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,SPACA4,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,SPRN,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,TECTA,False,True,2.0,False
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,TECTB,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,TEX101,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,THY1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,ULBP2,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,VNN1,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,VNN2,False,False,,
REACTOME:Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,XPNPEP2,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,ARL2,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TBCA,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TBCB,False,False,3.0,False
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TBCC,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TBCD,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TBCE,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBA1A,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBA1B,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBA1C,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBA3C,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBA4A,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBA4B,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBA8,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBAL3,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBB,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBB2A,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBB2B,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBB3,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBB4A,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBB4B,False,False,,
REACTOME:Post-chaperonin Tubulin Folding Pathway R-HSA-389977,TUBB6,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,PHGDH,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,PSAT1,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,PSPH,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,SERINC1,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,SERINC2,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,SERINC3,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,SERINC5,False,False,,
REACTOME:Serine Biosynthesis R-HSA-977347,SRR,False,False,,
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,CD9,False,False,,
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,EEF2,False,False,,
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,HBEGF,False,False,,
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,HSP90AA1,False,False,,
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,HSP90AB1,False,False,,
REACTOME:Uptake And Function Of Diphtheria Toxin R-HSA-5336415,TXNRD1,False,False,,
